,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
301,La Ronge,75,CA,1598816524,71,55.1,-105.28,51.8,16.11
302,Moose Factory,90,CA,1598816525,62,51.26,-80.61,57.2,8.05
303,São Filipe,61,CV,1598816525,82,14.9,-24.5,78.57,11.59
304,Chokurdakh,98,RU,1598816526,80,70.63,147.92,41.67,8.19
305,Sibu,40,MY,1598816527,94,2.3,111.82,77.0,2.24
306,Sisimiut,0,GL,1598816528,57,66.94,-53.67,53.8,11.1
307,Tazmalt,75,DZ,1598816528,69,36.39,4.4,78.8,8.05
308,Biak,96,ID,1598816529,79,-0.91,122.88,76.95,7.52
309,Vanavara,0,RU,1598816530,93,60.34,102.28,47.73,2.66
310,Kasempa,33,ZM,1598816531,38,-13.46,25.83,70.27,3.36
311,Sitka,90,US,1598816533,87,57.05,-135.33,53.6,8.05
312,Pandamatenga,100,BW,1598816534,40,-18.53,25.63,75.45,7.29
313,Barinas,100,VE,1598816534,76,8.62,-70.21,81.84,2.26
314,Poum,8,NC,1598816535,70,-20.23,164.02,68.61,10.96
315,Bezhanitsy,100,RU,1598816536,96,56.98,29.89,54.82,3.4
316,Port-Gentil,90,GA,1598816538,83,-0.72,8.78,77.0,15.03
317,Ambilobe,8,MG,1598816539,85,-13.2,49.05,68.95,4.99
318,Latung,55,PH,1598816542,73,5.5,120.88,83.43,5.35
319,Alofi,28,NU,1598816543,83,-19.06,-169.92,75.2,12.75
320,Coquimbo,0,CL,1598816544,67,-29.95,-71.34,59.0,14.99
321,Magnitogorsk,40,RU,1598816547,59,53.42,59.05,62.6,4.47
322,Portland,40,US,1598816505,55,45.52,-122.68,68.0,4.7
323,Kapoeta,100,SS,1598816551,64,4.77,33.59,77.47,3.13
324,Sciacca,0,IT,1598816551,45,37.51,13.09,75.99,3.78
325,Omboué,99,GA,1598816552,84,-1.57,9.26,74.71,10.27
326,Pochutla,40,MX,1598816553,66,15.74,-96.47,89.01,6.44
327,Écija,0,ES,1598816554,18,37.54,-5.08,86.0,3.36
328,Petrovsk,9,RU,1598816507,56,52.31,45.39,61.9,4.54
329,Yulara,0,AU,1598816555,54,-25.24,130.99,55.4,5.82
330,Usinsk,100,RU,1598816556,97,65.99,57.53,50.2,9.19
331,Province of Mantua,20,IT,1598816557,56,45.17,10.78,71.6,12.75
332,Yola,100,NG,1598816557,88,9.2,12.48,75.99,2.13
333,Barrhead,49,GB,1598816557,67,55.8,-4.39,57.2,4.7
334,Baharly,0,TM,1598816558,37,38.44,57.43,77.63,15.75
335,Linqu,78,CN,1598816558,82,36.52,118.54,81.0,2.04
336,Salé,0,MA,1598816536,73,34.04,-6.82,71.6,5.82
337,Chimbote,61,PE,1598816374,69,-9.09,-78.58,65.97,11.52
338,Kahului,20,US,1598816401,54,20.89,-156.47,84.2,21.92
339,Hornepayne,17,CA,1598816561,44,49.21,-84.77,64.96,1.79
340,Zheleznodorozhnyy,40,RU,1598816562,93,55.75,38.0,68.0,2.24
